1st Serve Tennis (Europe) (Unl);1st Serve Tennis (Europe) (Unl);Atari ST;;19xx;John Leaver;Sports/Tennis;;;;;0;;;;;
passsht16a;Passing Shot (Japan, 4 Players, System 16A, FD1094 317-0071);MAME (Mame4all);passsht;1988;Sega;Sports / Tennis;;;;;0;;;;;
passsht16a;Passing Shot (Japan, 4 Players, System 16A, FD1094 317-0071);MAME (Mame4all);passsht;1988;Sega;Sports/Tennis;;;;;0;;;;;
passshta;Passing Shot (World, 4 Players, FD1094 317-0074);Arcade;passsht;1988;Sega;Sports / Tennis;;;;;0;;;;;
passshta;Passing Shot (World, 4 Players, FD1094 317-0074);Arcade;passsht;1988;Sega;Sports/Tennis;;;;;0;;;;;
passshta;Passing Shot (World, 4 Players, FD1094 317-0074);Final Burn Alpha;passsht;1988;Sega;Sports/Tennis;;;;;0;;;;;
passshta;Passing Shot (World, 4 Players, FD1094 317-0074);MAME (Advance);passsht;1988;Sega;Sports / Tennis;;;;;0;;;;;
passshta;Passing Shot (World, 4 Players, FD1094 317-0074);MAME (Advance);passsht;1988;Sega;Sports/Tennis;;;;;0;;;;;
passshta;Passing Shot (World, 4 Players, FD1094 317-0074);MAME (Libretro);passsht;1988;Sega;Sports / Tennis;;;;;0;;;;;
passshta;Passing Shot (World, 4 Players, FD1094 317-0074);MAME (Libretro);passsht;1988;Sega;Sports/Tennis;;;;;0;;;;;
passshta;Passing Shot (World, 4 Players, FD1094 317-0074);MAME (Mame4all);passsht;1988;Sega;Sports / Tennis;;;;;0;;;;;
passshta;Passing Shot (World, 4 Players, FD1094 317-0074);MAME (Mame4all);passsht;1988;Sega;Sports/Tennis;;;;;0;;;;;
passshtj;Passing Shot (Japan, 4 Players, FD1094 317-0070);Arcade;passsht;1988;Sega;Sports / Tennis;;;;;0;;;;;
passshtj;Passing Shot (Japan, 4 Players, FD1094 317-0070);Arcade;passsht;1988;Sega;Sports/Tennis;;;;;0;;;;;
passshtj;Passing Shot (Japan, 4 Players, FD1094 317-0070);Final Burn Alpha;passsht;1988;Sega;Sports/Tennis;;;;;0;;;;;
passshtj;Passing Shot (Japan, 4 Players, FD1094 317-0070);MAME (Advance);passsht;1988;Sega;Sports / Tennis;;;;;0;;;;;
passshtj;Passing Shot (Japan, 4 Players, FD1094 317-0070);MAME (Advance);passsht;1988;Sega;Sports/Tennis;;;;;0;;;;;
passshtj;Passing Shot (Japan, 4 Players, FD1094 317-0070);MAME (Libretro);passsht;1988;Sega;Sports / Tennis;;;;;0;;;;;
passshtj;Passing Shot (Japan, 4 Players, FD1094 317-0070);MAME (Libretro);passsht;1988;Sega;Sports/Tennis;;;;;0;;;;;
passshtj;Passing Shot (Japan, 4 Players, FD1094 317-0070);MAME (Mame4all);passsht;1988;Sega;Sports / Tennis;;;;;0;;;;;
passshtj;Passing Shot (Japan, 4 Players, FD1094 317-0070);MAME (Mame4all);passsht;1988;Sega;Sports/Tennis;;;;;0;;;;;
passsht;Passing Shot (World, 2 Players, FD1094 317-0080);Arcade;;1988;Sega;Sports / Tennis;;;;;0;;;;;
passsht;Passing Shot (World, 2 Players, FD1094 317-0080);Arcade;;1988;Sega;Sports/Tennis;;;;;0;;;;;
passsht;Passing Shot (World, 2 Players, FD1094 317-0080);Final Burn Alpha;;1988;Sega;Sports/Tennis;;;;;0;;;;;
passsht;Passing Shot (World, 2 Players, FD1094 317-0080);MAME (Advance);;1988;Sega;Sports / Tennis;;;;;0;;;;;
passsht;Passing Shot (World, 2 Players, FD1094 317-0080);MAME (Advance);;1988;Sega;Sports/Tennis;;;;;0;;;;;
passsht;Passing Shot (World, 2 Players, FD1094 317-0080);MAME (Libretro);;1988;Sega;Sports / Tennis;;;;;0;;;;;
passsht;Passing Shot (World, 2 Players, FD1094 317-0080);MAME (Libretro);;1988;Sega;Sports/Tennis;;;;;0;;;;;
passsht;Passing Shot (World, 2 Players, FD1094 317-0080);MAME (Mame4all);;1988;Sega;Sports / Tennis;;;;;0;;;;;
passsht;Passing Shot (World, 2 Players, FD1094 317-0080);MAME (Mame4all);;1988;Sega;Sports/Tennis;;;;;0;;;;;
pc_tenis;Tennis (PlayChoice-10);Arcade;;1983;Nintendo;Sports / Tennis;;;;;0;;;;;
pc_tenis;Tennis (PlayChoice-10);Arcade;;1983;Nintendo;Sports/Tennis;;;;;0;;;;;
pc_tenis;Tennis (PlayChoice-10);Final Burn Alpha;;1983;Nintendo;Sports/Tennis;;;;;0;;;;;
pc_tenis;Tennis (PlayChoice-10);MAME (Advance);;1983;Nintendo;Sports / Tennis;;;;;0;;;;;
pc_tenis;Tennis (PlayChoice-10);MAME (Advance);;1983;Nintendo;Sports/Tennis;;;;;0;;;;;
pc_tenis;Tennis (PlayChoice-10);MAME (Libretro);;1983;Nintendo;Sports / Tennis;;;;;0;;;;;
pc_tenis;Tennis (PlayChoice-10);MAME (Libretro);;1983;Nintendo;Sports/Tennis;;;;;0;;;;;
pc_tenis;Tennis (PlayChoice-10);MAME (Mame4all);;1983;Nintendo;Sports / Tennis;;;;;0;;;;;
pc_tenis;Tennis (PlayChoice-10);MAME (Mame4all);;1983;Nintendo;Sports/Tennis;;;;;0;;;;;
Pete Sampras Tennis (Europe);Pete Sampras Tennis (Europe);Sega Game Gear;;1994;Codemasters;Sports/Tennis;;;;;0;;;;;
Pete Sampras Tennis (USA, Europe);Pete Sampras Tennis (USA, Europe);Sega Genesis;;1994;Codemasters;Sports/Tennis;;;;;0;;;;;
pingpong;Konami's Ping-Pong;Arcade;;1985;Konami;Sports/Tennis;;;;;0;;;;;
pingpong;Konami's Ping-Pong;Final Burn Alpha;;1985;Konami;Sports/Tennis;;;;;0;;;;;
pingpong;Konami's Ping-Pong;MAME (Advance);;1985;Konami;Sports/Tennis;;;;;0;;;;;
pingpong;Konami's Ping-Pong;MAME (Libretro);;1985;Konami;Sports/Tennis;;;;;0;;;;;
pingpong;Konami's Ping-Pong;MAME (Mame4all);;1985;Konami;Sports/Tennis;;;;;0;;;;;
Play a Match (Europe);Play a Match (Europe);Commodore 64;;1993;CP Verlag/Magic Disk 64;Sports/Tennis;;;;;0;;;;;
Pocket Tennis Color - Pocket Sports Series (World) (En,Ja);Pocket Tennis Color - Pocket Sports Series (World) (En,Ja);SNK Neo Geo Pocket Color;;1999;SNK;Sports/Tennis;;;;;0;;;;;
Pocket Tennis - Pocket Sports Series (Japan, Europe);Pocket Tennis - Pocket Sports Series (Japan, Europe);SNK Neo Geo Pocket;;1999;SNK;Tennis/Sports;;;;;0;;;;;
Powerplay Tennis (USA);Powerplay Tennis;Nintendo DS;;;;;;;;;0;;;;;
Power Serve 3D Tennis (USA);Power Serve 3D Tennis (USA);Sony PlayStation;;1996;Ocean;Sports/Tennis;;;;;0;;;;;
Power Serve 3D Tennis (USA);Power Serve 3D Tennis (USA);Sony PSP;;1996;Ocean;Sports/Tennis;;;;;0;;;;;
Power Tennis (Japan);Power Tennis;NEC PC Engine;;;;;;;;;0;;;;;
Professional Tennis Simulator (Europe);Professional Tennis Simulator (Europe);Sinclair ZX Spectrum;;1990;Dinamic Software;Sports/Tennis;;;;;0;;;;;
Professionnal Tennis Simulator (Europe);Professionnal Tennis Simulator (Europe);Amstrad CPC;;1990;Dinamic Software;Sports/Tennis;;;;;0;;;;;
prosporta;Pro Sports - Bowling, Tennis, and Golf (set 2);Arcade;prosport;1983;Data East Corporation;Sports/Compilation;;;;;0;;;;;
prosporta;Pro Sports - Bowling, Tennis, and Golf (set 2);Arcade;prosport;1983;Data East Corporation;Sports / Multiplay;;;;;0;;;;;
prosporta;Pro Sports - Bowling, Tennis, and Golf (set 2);Final Burn Alpha;prosport;1983;Data East Corporation;Sports/Compilation;;;;;0;;;;;
prosporta;Pro Sports - Bowling, Tennis, and Golf (set 2);MAME (Advance);prosport;1983;Data East Corporation;Sports/Compilation;;;;;0;;;;;
prosporta;Pro Sports - Bowling, Tennis, and Golf (set 2);MAME (Advance);prosport;1983;Data East Corporation;Sports / Multiplay;;;;;0;;;;;
prosporta;Pro Sports - Bowling, Tennis, and Golf (set 2);MAME (Libretro);prosport;1983;Data East Corporation;Sports/Compilation;;;;;0;;;;;
prosporta;Pro Sports - Bowling, Tennis, and Golf (set 2);MAME (Libretro);prosport;1983;Data East Corporation;Sports / Multiplay;;;;;0;;;;;
prosporta;Pro Sports - Bowling, Tennis, and Golf (set 2);MAME (Mame4all);prosport;1983;Data East Corporation;Sports/Compilation;;;;;0;;;;;
prosporta;Pro Sports - Bowling, Tennis, and Golf (set 2);MAME (Mame4all);prosport;1983;Data East Corporation;Sports / Multiplay;;;;;0;;;;;
prosport;Pro Sports - Bowling, Tennis, and Golf (set 1);Arcade;;1983;Data East Corporation;Sports/Compilation;;;;;0;;;;;
prosport;Pro Sports - Bowling, Tennis, and Golf (set 1);Arcade;;1983;Data East Corporation;Sports / Multiplay;;;;;0;;;;;
prosport;Pro Sports - Bowling, Tennis, and Golf (set 1);Final Burn Alpha;;1983;Data East Corporation;Sports/Compilation;;;;;0;;;;;
prosport;Pro Sports - Bowling, Tennis, and Golf (set 1);MAME (Advance);;1983;Data East Corporation;Sports/Compilation;;;;;0;;;;;
prosport;Pro Sports - Bowling, Tennis, and Golf (set 1);MAME (Advance);;1983;Data East Corporation;Sports / Multiplay;;;;;0;;;;;
prosport;Pro Sports - Bowling, Tennis, and Golf (set 1);MAME (Libretro);;1983;Data East Corporation;Sports/Compilation;;;;;0;;;;;
prosport;Pro Sports - Bowling, Tennis, and Golf (set 1);MAME (Libretro);;1983;Data East Corporation;Sports / Multiplay;;;;;0;;;;;
prosport;Pro Sports - Bowling, Tennis, and Golf (set 1);MAME (Mame4all);;1983;Data East Corporation;Sports/Compilation;;;;;0;;;;;
prosport;Pro Sports - Bowling, Tennis, and Golf (set 1);MAME (Mame4all);;1983;Data East Corporation;Sports / Multiplay;;;;;0;;;;;
protennb;Tennis (bootleg of Pro Tennis);Arcade;;1982;bootleg;Sports / Tennis;;;;;0;;;;;
protennb;Tennis (bootleg of Pro Tennis);Final Burn Alpha;;1982;bootleg;Sports / Tennis;;;;;0;;;;;
protennb;Tennis (bootleg of Pro Tennis);MAME (Advance);;1982;bootleg;Sports / Tennis;;;;;0;;;;;
protennb;Tennis (bootleg of Pro Tennis);MAME (Libretro);;1982;bootleg;Sports / Tennis;;;;;0;;;;;
protennb;Tennis (bootleg of Pro Tennis);MAME (Mame4all);;1982;bootleg;Sports / Tennis;;;;;0;;;;;
Pro Tennis (Europe);Pro Tennis (Europe);Amstrad CPC;;1986;Loriciels;Sports/Tennis;;;;;0;;;;;
Pro Tennis Simulator (Europe);Pro Tennis Simulator (Europe);Amstrad CPC;;1990;Codemasters;Sports/Tennis;;;;;0;;;;;
Pro Tennis Simulator (Europe);Pro Tennis Simulator (Europe);Atari ST;;1990;Codemasters;Sports/Tennis;;;;;0;;;;;
Pro Tennis Simulator (Europe);Pro Tennis Simulator (Europe);Commodore 64;;1989;Codemasters;Sports/Tennis;;;;;0;;;;;
Pro Tennis Simulator (Europe);Pro Tennis Simulator (Europe);Sinclair ZX Spectrum;;1990;Codemasters;Sports/Tennis;;;;;0;;;;;
ProTennisSimulator_v1.3_Files;Pro Tennis Simulator;Commodore Amiga;;;;;;;;;0;;;;;
ProTennisTour2_v1.3;Pro Tennis Tour 2;Commodore Amiga;;;;;;;;;0;;;;;
Pro Tennis Tour (CPC+) (Europe);Pro Tennis Tour (CPC+) (Europe);Amstrad CPC;;1989;UBI Soft;Sports/Tennis;;;;;0;;;;;
Pro Tennis Tour (Europe);Pro Tennis Tour (Europe);Amstrad CPC;Pro Tennis Tour (CPC+) (Europe);1989;UBI Soft;Sports/Tennis;;;;;0;;;;;
Pro Tennis Tour (Europe);Pro Tennis Tour (Europe);Sinclair ZX Spectrum;;1990;Ubi Soft;Sports/Tennis;;;;;0;;;;;
Pro Tennis Tour (France);Pro Tennis Tour (France);Commodore 64;;1989;Ubi Soft;Sports/Tennis;;;;;0;;;;;
ProTennisTour_v2.2_1080;Pro Tennis Tour;Commodore Amiga;;;;;;;;;0;;;;;
Pro Tennis World Court (Japan);Pro Tennis World Court;NEC PC Engine;;;;;;;;;0;;;;;
ptennwc;Pro Tennis World Court;Final Burn Alpha;;1988;Namcot;;;;;;0;;;;;
Racket Attack (USA);Racket Attack (USA);Nintendo Entertainment System;;1988;Jaleco Entertainment;Sports/Tennis;;;;;0;;;;;
Rackets & Rivals (Europe);Rackets & Rivals (Europe);Nintendo Entertainment System;;1993;Palcom;Sports/Tennis;;;;;0;;;;;
Racquetball (USA);Racquetball (USA);Atari 2600;;1981;Apollo - Games by Apollo;Sports/Tennis;;;;;0;;;;;
Rad Racket - Deluxe Tennis II (USA) (Unl);Rad Racket - Deluxe Tennis II (USA) (Unl);Nintendo Entertainment System;;1991;American Video Entertainment;Sports/Tennis;;;;;0;;;;;
Rafa Nadal Tennis (USA) (En,Fr);Rafa Nadal Tennis;Nintendo DS;;;;;;;;;0;;;;;
RealSports Tennis (USA);RealSports Tennis (USA);Atari 2600;;1983;Atari - GCC;Sports/Tennis;;;;;0;;;;;
RealSports Tennis (USA);RealSports Tennis (USA);Atari 5200;;1983;Atari;Sports/Tennis;;;;;0;;;;;
Real Tennis (Japan);Real Tennis (Japan);Microsoft MSX;;;;;;;;;0;;;;;
rltennis;Reality Tennis;Arcade;;1993;TCH;Sports / Tennis;;;;;0;;;;;
rltennis;Reality Tennis;Final Burn Alpha;;1993;TCH;Sports / Tennis;;;;;0;;;;;
rltennis;Reality Tennis;MAME (Advance);;1993;TCH;Sports / Tennis;;;;;0;;;;;
rltennis;Reality Tennis;MAME (Libretro);;1993;TCH;Sports / Tennis;;;;;0;;;;;
rltennis;Reality Tennis;MAME (Mame4all);;1993;TCH;Sports / Tennis;;;;;0;;;;;
Roland Garros French Open 2001 (Europe);Roland Garros French Open 2001 (Europe);Sony PlayStation;;2001;Cryo Interactive;Sports/Tennis;;;;;0;;;;;
Roland Garros French Open 2001 (Europe);Roland Garros French Open 2001 (Europe);Sony PSP;;2001;Cryo Interactive;Sports/Tennis;;;;;0;;;;;
sampra96;Pete Sampras Tennis '96 (Euro, J-Cart);Final Burn Alpha;;1995;Codemasters;;;;;;0;;;;;
sampras1;Pete Sampras Tennis (Euro, USA, J-Cart, Alt);Final Burn Alpha;sampras;1994;Codemasters;;;;;;0;;;;;
sampras2;Pete Sampras Tennis (Euro, USA, J-Cart, Alt 2);Final Burn Alpha;sampras;1994;Codemasters;;;;;;0;;;;;
Sampras Extreme Tennis (Europe);Sampras Extreme Tennis (Europe);Sony PlayStation;;1996;Virgin Interactive;Sports/Tennis;;;;;0;;;;;
Sampras Extreme Tennis (Europe);Sampras Extreme Tennis (Europe);Sony PSP;;1996;Virgin Interactive;Sports/Tennis;;;;;0;;;;;
sampras;Pete Sampras Tennis (Euro, USA, J-Cart);Final Burn Alpha;;1994;Codemasters;;;;;;0;;;;;
Sampras Tennis 96 (Europe);Sampras Tennis 96 (Europe);Sega Genesis;;1995;Codemasters;Sports/Tennis;;;;;0;;;;;
sdtennis;Super Doubles Tennis;Arcade;;1983;Data East Corporation;Sports / Tennis;;;;;0;;;;;
sdtennis;Super Doubles Tennis;Arcade;;1983;Data East Corporation;Sports/Tennis;;;;;0;;;;;
sdtennis;Super Doubles Tennis;Final Burn Alpha;;1983;Data East Corporation;Sports/Tennis;;;;;0;;;;;
sdtennis;Super Doubles Tennis;MAME (Advance);;1983;Data East Corporation;Sports / Tennis;;;;;0;;;;;
sdtennis;Super Doubles Tennis;MAME (Advance);;1983;Data East Corporation;Sports/Tennis;;;;;0;;;;;
sdtennis;Super Doubles Tennis;MAME (Libretro);;1983;Data East Corporation;Sports / Tennis;;;;;0;;;;;
sdtennis;Super Doubles Tennis;MAME (Libretro);;1983;Data East Corporation;Sports/Tennis;;;;;0;;;;;
sdtennis;Super Doubles Tennis;MAME (Mame4all);;1983;Data East Corporation;Sports / Tennis;;;;;0;;;;;
sdtennis;Super Doubles Tennis;MAME (Mame4all);;1983;Data East Corporation;Sports/Tennis;;;;;0;;;;;
Sega Superstars Tennis (USA) (En,Fr,De,Es,It);Sega Superstars Tennis;Nintendo DS;;;;;;;;;0;;;;;
Serve & Volley (USA);Serve & Volley (USA);Commodore 64;;1988;Accolade;Sports/Tennis;;;;;0;;;;;
Simulador Profesional de Tennis (Spain);Simulador Profesional de Tennis (Spain);Amstrad CPC;;1990;Dinamic Software;Sports/Tennis;;;;;0;;;;;
Smash (Europe);Smash (Europe);Commodore 64;;1993;Idea Software;Sports/Tennis;;;;;0;;;;;
Smash Hit (Sweden) (Unl);Smash Hit (Sweden) (Unl);Atari ST;;1992;Peter Zetterberg;Sports/Tennis;;;;;0;;;;;
Smash Tennis (Europe);Smash Tennis (Europe);Super Nintendo Entertainment System;;1993;Namco;Sports/Tennis;;;;;0;;;;;
Snoopy Tennis (Nintendo, Wide Screen);Snoopy Tennis (Nintendo, Wide Screen);Nintendo Game and Watch;;;;;;;;;0;;;;;
Snoopy Tennis (USA);Snoopy Tennis (USA);Nintendo Game Boy Color;;2001;Infogrames;Sports;;;;;0;;;;;
squaitsa;Squash (Itisa);Arcade;;1984;Itisa;Sports / Tennis;;;;;0;;;;;
squaitsa;Squash (Itisa);Final Burn Alpha;;1984;Itisa;Sports / Tennis;;;;;0;;;;;
squaitsa;Squash (Itisa);MAME (Advance);;1984;Itisa;Sports / Tennis;;;;;0;;;;;
squaitsa;Squash (Itisa);MAME (Libretro);;1984;Itisa;Sports / Tennis;;;;;0;;;;;
squaitsa;Squash (Itisa);MAME (Mame4all);;1984;Itisa;Sports / Tennis;;;;;0;;;;;
squash;Squash (Ver. 1.0);Arcade;;1992;Gaelco;Sports / Tennis;;;;;0;;;;;
squash;Squash (Ver. 1.0);Final Burn Alpha;;1992;Gaelco;Sports / Tennis;;;;;0;;;;;
squash;Squash (Ver. 1.0);MAME (Advance);;1992;Gaelco;Sports / Tennis;;;;;0;;;;;
squash;Squash (Ver. 1.0);MAME (Libretro);;1992;Gaelco;Sports / Tennis;;;;;0;;;;;
squash;Squash (Ver. 1.0);MAME (Mame4all);;1992;Gaelco;Sports / Tennis;;;;;0;;;;;
sslama;Super Slam (set 2);Arcade;sslam;1993;Playmark;Sports / Tennis;;;;;0;;;;;
sslama;Super Slam (set 2);Final Burn Alpha;sslam;1993;Playmark;Sports / Tennis;;;;;0;;;;;
sslama;Super Slam (set 2);MAME (Advance);sslam;1993;Playmark;Sports / Tennis;;;;;0;;;;;
sslama;Super Slam (set 2);MAME (Libretro);sslam;1993;Playmark;Sports / Tennis;;;;;0;;;;;
sslama;Super Slam (set 2);MAME (Mame4all);sslam;1993;Playmark;Sports / Tennis;;;;;0;;;;;
sslam;Super Slam (set 1);Arcade;;1993;Playmark;Sports / Tennis;;;;;0;;;;;
sslam;Super Slam (set 1);Final Burn Alpha;;1993;Playmark;Sports / Tennis;;;;;0;;;;;
sslam;Super Slam (set 1);MAME (Advance);;1993;Playmark;Sports / Tennis;;;;;0;;;;;
sslam;Super Slam (set 1);MAME (Libretro);;1993;Playmark;Sports / Tennis;;;;;0;;;;;
sslam;Super Slam (set 1);MAME (Mame4all);;1993;Playmark;Sports / Tennis;;;;;0;;;;;
Street Racquetball (USA);Street Racquetball (USA);Sony PlayStation;;2003;Agetec;Sports/Tennis;;;;;0;;;;;
Street Racquetball (USA);Street Racquetball (USA);Sony PSP;;2003;Agetec;Sports/Tennis;;;;;0;;;;;
Super Brat (Europe);Super Brat (Europe);Sinclair ZX Spectrum;;1985;Atlantis Software;Sports/Tennis;;;;;0;;;;;
Super Final Match Tennis (Japan);Super Final Match Tennis (Japan);Nintendo Super Famicom;;1994;Human Entertainment;Sports/Tennis;;;;;0;;;;;
SuperTennisChamps&DataDisks_v1.1;Super Tennis Champs & DataDisks;Commodore Amiga;;;;;;;;;0;;;;;
Super Tennis (Japan);Super Tennis (Japan);Microsoft MSX;;;;;;;;;0;;;;;
Super Tennis (USA, Europe);Super Tennis (USA, Europe);Sega Master System;;1986;Sega;Sports/Tennis;;;;;0;;;;;
Super Tennis (USA);Super Tennis (USA);Super Nintendo Entertainment System;;1991;Nintendo;Sports/Tennis;;;;;0;;;;;
swcourtj;Super World Court (Japan);Arcade;swcourt;1992;Namco;Sports / Tennis;;;;;0;;;;;
swcourtj;Super World Court (Japan);MAME (Advance);swcourt;1992;Namco;Sports / Tennis;;;;;0;;;;;
swcourtj;Super World Court (Japan);MAME (Libretro);swcourt;1992;Namco;Sports / Tennis;;;;;0;;;;;
swcourtj;Super World Court (Japan);MAME (Mame4all);swcourt;1992;Namco;Sports / Tennis;;;;;0;;;;;
swcourt;Super World Court (World);Arcade;;1992;Namco;Sports / Tennis;;;;;0;;;;;
swcourt;Super World Court (World);MAME (Advance);;1992;Namco;Sports / Tennis;;;;;0;;;;;
swcourt;Super World Court (World);MAME (Libretro);;1992;Namco;Sports / Tennis;;;;;0;;;;;
swcourt;Super World Court (World);MAME (Mame4all);;1992;Namco;Sports / Tennis;;;;;0;;;;;
Table Tennis (Europe);Table Tennis (Europe);Commodore 64;;1993;Zeppelin Games;Tabletop;;;;;0;;;;;
Table Tennis Simulation (USA);Table Tennis Simulation (USA);Atari ST;;1989;Star Games;Tabletop;;;;;0;;;;;
TableTennisSimulation_v1.0_1912;Table Tennis Simulation;Commodore Amiga;;;;;;;;;0;;;;;
Table Tennis;Table Tennis;Magnavox Odyssey;;1972;Cartridge 1;Sports;;;;;0;;;;;
Telly Tennis (Europe);Telly Tennis (Europe);Amstrad CPC;;1985;Amsoft;Ball & Paddle;;;;;0;;;;;
Tennis 2K2 (USA);Tennis 2K2 (USA);Sega Dreamcast;;2001;Sega;Sports/Tennis;;;;;0;;;;;
Tennis 3D (France);Tennis 3D (France);Amstrad CPC;;1986;Loriciels;Sports/Tennis;;;;;0;;;;;
Tennis Ace (Europe);Tennis Ace (Europe);Sega Master System;;1989;Sega;Sports/Tennis;;;;;0;;;;;
Tennis Arena (USA);Tennis Arena (USA);Sony PlayStation;;1998;UbiSoft;Sports/Tennis;;;;;0;;;;;
Tennis Arena (USA);Tennis Arena (USA);Sony PSP;;1998;UbiSoft;Sports/Tennis;;;;;0;;;;;
Tennis Champ (Europe);Tennis Champ (Europe);Sinclair ZX Spectrum;;1989;Lambourne Games;Sports/Tennis;;;;;0;;;;;
TennisChamps_v1.0;Tennis Champs;Commodore Amiga;;;;;;;;;0;;;;;
TennisCup2_v1.0_0738;Tennis Cup II;Commodore Amiga;;;;;;;;;0;;;;;
Tennis Cup (Europe) (Disk 1);Tennis Cup (Europe) (Disk 1);Atari ST;;1992;Loriciel;Sports/Tennis;;;;;0;;;;;
Tennis Cup (Europe) (Disk 2);Tennis Cup (Europe) (Disk 2);Atari ST;;1992;Loriciel;Sports/Tennis;;;;;0;;;;;
Tennis Cup (France);Tennis Cup (France);Amstrad CPC;;1989;Loriciels;Sports/Tennis;;;;;0;;;;;
Tennis Cup II (CPC+) (Europe);Tennis Cup II (CPC+) (Europe);Amstrad CPC;;1990;Loriciels;Sports/Tennis;;;;;0;;;;;
Tennis Cup II (Europe) (Disk 1);Tennis Cup II (Europe) (Disk 1);Atari ST;;1992;Loriciel;Sports/Tennis;;;;;0;;;;;
Tennis Cup II (Europe) (Disk 2);Tennis Cup II (Europe) (Disk 2);Atari ST;;1992;Loriciel;Sports/Tennis;;;;;0;;;;;
TennisCup_v1.2;Tennis Cup;Commodore Amiga;;;;;;;;;0;;;;;
Tennis Elbow (Europe) (En,Fr,De,Es,It,Nl,Pt) [b];Tennis Elbow;Nintendo DS;;;;;;;;;0;;;;;
Tennis (Europe);Tennis (Europe);Sinclair ZX Spectrum;;1983;Winters Ltd;Sports/Tennis;;;;;0;;;;;
Tennis (France) (Unl) (High Res Version);Tennis (France) (Unl) (High Res Version);Atari ST;;1986;DL Research;Sports/Tennis;;;;;0;;;;;
Tennis (France) (Unl) (Medium Res Version);Tennis (France) (Unl) (Medium Res Version);Atari ST;;1986;DL Research;Sports/Tennis;;;;;0;;;;;
Tennis (Japan);Tennis (Japan);Nintendo Famicom Disk System;;1983;Nintendo;Sports/Tennis;;;;;0;;;;;
Tennis (Japan, USA);Tennis (Japan, USA);Nintendo Entertainment System;;1985;Nintendo;Sports/Tennis;;;;;0;;;;;
Tennis Master (Europe);Tennis Master (Europe);Sinclair ZX Spectrum;;1988;Lambourne Games;Sports/Tennis;;;;;0;;;;;
Tennis Masters Series 2003 (Europe) (En,Fr,De,Es,It,Pt);Tennis Masters Series 2003 (Europe) (En,Fr,De,Es,It,Pt);Nintendo Game Boy Advance;;2002;Microids;Sports/Tennis;;;;;0;;;;;
Tennis Menace (VTech, Sporty Time & Fun);Tennis Menace (VTech, Sporty Time & Fun);Game and Watch;;;;;;;;;0;;;;;
Tennis Menace (VTech, Sporty Time & Fun);Tennis Menace (VTech, Sporty Time & Fun);Nintendo Game and Watch;;;;;;;;;0;;;;;
Tennis;Tennis;Magnavox Odyssey;;1972;Cartridge 3;Sports;;;;;0;;;;;
Tennis (USA);Tennis (USA);Atari 2600;;1981;Activision;Sports/Tennis;;;;;0;;;;;
Tennis (USA);Tennis (USA);Sony PlayStation;;2001;Agetec;Sports/Tennis;;;;;0;;;;;
Tennis (USA);Tennis (USA);Sony PSP;;2001;Agetec;Sports/Tennis;;;;;0;;;;;
Tennis (World);Tennis (World);Nintendo Game Boy;;1989;Nintendo;Sports/Tennis;;;;;0;;;;;
Tiebreaker (Europe);Tiebreaker (Europe);Commodore 64;;1988;Kingsoft;Sports/Tennis;;;;;0;;;;;
Tie Break (France);Tie Break (France);Amstrad CPC;;1985;Sprites;Sports/Tennis;;;;;0;;;;;
Top Players' Tennis Featuring Chris Evert & Ivan Lendl (USA);Top Players' Tennis Featuring Chris Evert & Ivan Lendl (USA);Nintendo Entertainment System;;1990;Asmik Corporation of America;Sports/Tennis;;;;;0;;;;;
Top Rank Tennis (USA);Top Rank Tennis (USA);Nintendo Game Boy;;1993;Nintendo;Sports/Tennis;;;;;0;;;;;
Top Spin 2 (USA) (En,Fr,De,Es,It);Top Spin 2 (USA) (En,Fr,De,Es,It);Nintendo Game Boy Advance;;2006;2K Sports;Sports/Tennis;;;;;0;;;;;
Tournament Tennis - Mens & Ladies (Side A) (Europe);Tournament Tennis - Mens & Ladies (Side A) (Europe);Sinclair ZX Spectrum;;1992;Lambourne Games;Sports/Tennis;;;;;0;;;;;
Tournament Tennis - Mens & Ladies (Side B) (Europe);Tournament Tennis - Mens & Ladies (Side B) (Europe);Sinclair ZX Spectrum;;1992;Lambourne Games;Sports/Tennis;;;;;0;;;;;
Tournament Tennis (Side A) (Europe);Tournament Tennis (Side A) (Europe);Sinclair ZX Spectrum;;1992;Lambourne Games;Sports/Tennis;;;;;0;;;;;
Tournament Tennis (Side B) (Europe);Tournament Tennis (Side B) (Europe);Sinclair ZX Spectrum;;1992;Lambourne Games;Sports/Tennis;;;;;0;;;;;
Tournament Tennis (USA);Tournament Tennis (USA);ColecoVision;;1984;Imagic;Sports/Tennis;;;;;0;;;;;
Turtle Table Tennis Simulator (Europe);Turtle Table Tennis Simulator (Europe);Atari ST;;1989;Electronic Zoo;Sports/Tennis;;;;;0;;;;;
ultennisj;Ultimate Tennis (v 1.4, Japan);Arcade;ultennis;1993;Art & Magic (Banpresto license);Sports / Tennis;;;;;0;;;;;
ultennisj;Ultimate Tennis (v 1.4, Japan);Final Burn Alpha;ultennis;1993;Art & Magic (Banpresto license);Sports / Tennis;;;;;0;;;;;
ultennisj;Ultimate Tennis (v 1.4, Japan);MAME (Advance);ultennis;1993;Art & Magic (Banpresto license);Sports / Tennis;;;;;0;;;;;
