12in1;12 in 1;Final Burn Alpha;;199?;unlicensed;;;;;;0;;;;;
aof2a;Art of Fighting 2 / Ryuuko no Ken 2 (NGH-056);Arcade;aof2;1994;SNK;Fighter / Versus;;;;;0;;;;;
aof2a;Art of Fighting 2 / Ryuuko no Ken 2 (NGH-056);Final Burn Alpha;aof2;1994;SNK;;;;;;0;;;;;
aof2a;Art of Fighting 2 / Ryuuko no Ken 2 (NGH-056);MAME (Advance);aof2;1994;SNK;Fighter / Versus;;;;;0;;;;;
aof2a;Art of Fighting 2 / Ryuuko no Ken 2 (NGH-056);MAME (Libretro);aof2;1994;SNK;Fighter / Versus;;;;;0;;;;;
aof2a;Art of Fighting 2 / Ryuuko no Ken 2 (NGH-056);MAME (Mame4all);aof2;1994;SNK;Fighter / Versus;;;;;0;;;;;
aof3;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;Arcade;;1996;SNK;Fighter / Versus;;;;;0;;;;;
aof3;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;Final Burn Alpha;;1996;SNK;;;;;;0;;;;;
aof3;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;MAME (Advance);;1996;SNK;Fighter / Versus;;;;;0;;;;;
aof3;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;MAME (Libretro);;1996;SNK;Fighter / Versus;;;;;0;;;;;
aof3;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;MAME (Mame4all);;1996;SNK;Fighter / Versus;;;;;0;;;;;
aof3k;Art of Fighting 3 - The Path of the Warrior (Korean release);Arcade;aof3;1996;SNK;Fighter / Versus;;;;;0;;;;;
aof3k;Art of Fighting 3 - The Path of the Warrior (Korean release);Final Burn Alpha;aof3;1996;SNK;;;;;;0;;;;;
aof3k;Art of Fighting 3 - The Path of the Warrior (Korean release);MAME (Advance);aof3;1996;SNK;Fighter / Versus;;;;;0;;;;;
aof3k;Art of Fighting 3 - The Path of the Warrior (Korean release);MAME (Libretro);aof3;1996;SNK;Fighter / Versus;;;;;0;;;;;
aof3k;Art of Fighting 3 - The Path of the Warrior (Korean release);MAME (Mame4all);aof3;1996;SNK;Fighter / Versus;;;;;0;;;;;
aof;Art of Fighting / Ryuuko no Ken (NGM-044)(NGH-044);Arcade;;1992;SNK;Fighter / Versus;;;;;0;;;;;
aof;Art of Fighting / Ryuuko no Ken (NGM-044)(NGH-044);Final Burn Alpha;;1992;SNK;;;;;;0;;;;;
aof;Art of Fighting / Ryuuko no Ken (NGM-044)(NGH-044);MAME (Advance);;1992;SNK;Fighter / Versus;;;;;0;;;;;
aof;Art of Fighting / Ryuuko no Ken (NGM-044)(NGH-044);MAME (Libretro);;1992;SNK;Fighter / Versus;;;;;0;;;;;
aof;Art of Fighting / Ryuuko no Ken (NGM-044)(NGH-044);MAME (Mame4all);;1992;SNK;Fighter / Versus;;;;;0;;;;;
aofp;Art of Fighting (Prototype, 19940711);Final Burn Alpha;aof;1994;Sega;;;;;;0;;;;;
aofu;Art of Fighting (USA);Final Burn Alpha;aof;1994;Sega;;;;;;0;;;;;
aoiblink;Aoi Blink;Final Burn Alpha;;1990;Hudson;;;;;;0;;;;;
apple10;Apple 10 (Ver 1.21);Arcade;;1998;Sandii\';Casino / Cards;;;;;0;;;;;
apple10;Apple 10 (Ver 1.21);MAME (Advance);;1998;Sandii\';Casino / Cards;;;;;0;;;;;
apple10;Apple 10 (Ver 1.21);MAME (Libretro);;1998;Sandii\';Casino / Cards;;;;;0;;;;;
apple10;Apple 10 (Ver 1.21);MAME (Mame4all);;1998;Sandii\';Casino / Cards;;;;;0;;;;;
aqrenk;Aq Renkan Awa (Chi);Final Burn Alpha;;1995;C&E;;;;;;0;;;;;
aquagame;The Aquatic Games Starring James Pond and the Aquabats (Euro, USA);Final Burn Alpha;;1992;Electronic Arts;;;;;;0;;;;;
aquajack;Aqua Jack (World);Arcade;;1990;Taito Corporation Japan;Shooter / Driving (chase view);;;;;0;;;;;
aquajack;Aqua Jack (World);MAME (Advance);;1990;Taito Corporation Japan;Shooter / Driving (chase view);;;;;0;;;;;
aquajack;Aqua Jack (World);MAME (Libretro);;1990;Taito Corporation Japan;Shooter / Driving (chase view);;;;;0;;;;;
aquajack;Aqua Jack (World);MAME (Mame4all);;1990;Taito Corporation Japan;Shooter / Driving (chase view);;;;;0;;;;;
aquajack;Aquajack (World);Final Burn Alpha;;1990;Taito Corporation Japan;;;;;;0;;;;;
aquajackj;Aqua Jack (Japan);Arcade;aquajack;1990;Taito Corporation;Shooter / Driving (chase view);;;;;0;;;;;
aquajackj;Aqua Jack (Japan);MAME (Advance);aquajack;1990;Taito Corporation;Shooter / Driving (chase view);;;;;0;;;;;
aquajackj;Aqua Jack (Japan);MAME (Libretro);aquajack;1990;Taito Corporation;Shooter / Driving (chase view);;;;;0;;;;;
aquajackj;Aqua Jack (Japan);MAME (Mame4all);aquajack;1990;Taito Corporation;Shooter / Driving (chase view);;;;;0;;;;;
aquajackj;Aquajack (Japan);Final Burn Alpha;aquajack;1990;Taito Corporation;;;;;;0;;;;;
aquajacku;Aqua Jack (US);Arcade;aquajack;1990;Taito America Corporation;Shooter / Driving (chase view);;;;;0;;;;;
aquajacku;Aqua Jack (US);MAME (Advance);aquajack;1990;Taito America Corporation;Shooter / Driving (chase view);;;;;0;;;;;
aquajacku;Aqua Jack (US);MAME (Libretro);aquajack;1990;Taito America Corporation;Shooter / Driving (chase view);;;;;0;;;;;
aquajacku;Aqua Jack (US);MAME (Mame4all);aquajack;1990;Taito America Corporation;Shooter / Driving (chase view);;;;;0;;;;;
aquajacku;Aquajack (US);Final Burn Alpha;aquajack;1990;Taito Corporation;;;;;;0;;;;;
aquajet;Aqua Jet (Rev. AJ2 Ver.B);Arcade;;1996;Namco;Driving / Boat;;;;;0;;;;;
aquajet;Aqua Jet (Rev. AJ2 Ver.B);MAME (Advance);;1996;Namco;Driving / Boat;;;;;0;;;;;
aquajet;Aqua Jet (Rev. AJ2 Ver.B);MAME (Libretro);;1996;Namco;Driving / Boat;;;;;0;;;;;
aquajet;Aqua Jet (Rev. AJ2 Ver.B);MAME (Mame4all);;1996;Namco;Driving / Boat;;;;;0;;;;;
aquarium;Aquarium (Japan);Arcade;;1996;Excellent System;Puzzle / Drop;;;;;0;;;;;
aquarium;Aquarium (Japan);Final Burn Alpha;;1996;Excellent System;;;;;;0;;;;;
aquarium;Aquarium (Japan);MAME (Advance);;1996;Excellent System;Puzzle / Drop;;;;;0;;;;;
aquarium;Aquarium (Japan);MAME (Libretro);;1996;Excellent System;Puzzle / Drop;;;;;0;;;;;
aquarium;Aquarium (Japan);MAME (Mame4all);;1996;Excellent System;Puzzle / Drop;;;;;0;;;;;
aquarush;Aqua Rush (Japan, AQ1/VER.A1);Arcade;;1999;Namco;Puzzle / Misc.;;;;;0;;;;;
aquarush;Aqua Rush (Japan, AQ1/VER.A1);MAME (Advance);;1999;Namco;Puzzle / Misc.;;;;;0;;;;;
aquarush;Aqua Rush (Japan, AQ1/VER.A1);MAME (Libretro);;1999;Namco;Puzzle / Misc.;;;;;0;;;;;
aquarush;Aqua Rush (Japan, AQ1/VER.A1);MAME (Mame4all);;1999;Namco;Puzzle / Misc.;;;;;0;;;;;
ar;Action Replay (Euro);Final Burn Alpha;;199?;unknown;;;;;;0;;;;;
ar_spot;Spot (Arcadia, V 2.0);Arcade;;1990;Arcadia Systems;Tabletop / Misc.;;;;;0;;;;;
ar_spot;Spot (Arcadia, V 2.0);MAME (Advance);;1990;Arcadia Systems;Tabletop / Misc.;;;;;0;;;;;
ar_spot;Spot (Arcadia, V 2.0);MAME (Libretro);;1990;Arcadia Systems;Tabletop / Misc.;;;;;0;;;;;
ar_spot;Spot (Arcadia, V 2.0);MAME (Mame4all);;1990;Arcadia Systems;Tabletop / Misc.;;;;;0;;;;;
arabfgt;Arabian Fight (World);Arcade;;1991;Sega;Fighter / 2.5D;;;;;0;;;;;
arabfgt;Arabian Fight (World);MAME (Advance);;1991;Sega;Fighter / 2.5D;;;;;0;;;;;
arabfgt;Arabian Fight (World);MAME (Libretro);;1991;Sega;Fighter / 2.5D;;;;;0;;;;;
arabfgt;Arabian Fight (World);MAME (Mame4all);;1991;Sega;Fighter / 2.5D;;;;;0;;;;;
arabfgtj;Arabian Fight (Japan);Arcade;arabfgt;1991;Sega;Fighter / 2.5D;;;;;0;;;;;
arabfgtj;Arabian Fight (Japan);MAME (Advance);arabfgt;1991;Sega;Fighter / 2.5D;;;;;0;;;;;
arabfgtj;Arabian Fight (Japan);MAME (Libretro);arabfgt;1991;Sega;Fighter / 2.5D;;;;;0;;;;;
arabfgtj;Arabian Fight (Japan);MAME (Mame4all);arabfgt;1991;Sega;Fighter / 2.5D;;;;;0;;;;;
arabfgtu;Arabian Fight (US);Arcade;arabfgt;1991;Sega;Fighter / 2.5D;;;;;0;;;;;
arabfgtu;Arabian Fight (US);MAME (Advance);arabfgt;1991;Sega;Fighter / 2.5D;;;;;0;;;;;
arabfgtu;Arabian Fight (US);MAME (Libretro);arabfgt;1991;Sega;Fighter / 2.5D;;;;;0;;;;;
arabfgtu;Arabian Fight (US);MAME (Mame4all);arabfgt;1991;Sega;Fighter / 2.5D;;;;;0;;;;;
arabianm;Arabian Magic (Ver 1.0O 1992/07/06);Arcade;;1992;Taito Corporation Japan;Fighter / 2.5D;;;;;0;;;;;
arabianm;Arabian Magic (Ver 1.0O 1992/07/06);MAME (Advance);;1992;Taito Corporation Japan;Fighter / 2.5D;;;;;0;;;;;
arabianm;Arabian Magic (Ver 1.0O 1992/07/06);MAME (Libretro);;1992;Taito Corporation Japan;Fighter / 2.5D;;;;;0;;;;;
arabianm;Arabian Magic (Ver 1.0O 1992/07/06);MAME (Mame4all);;1992;Taito Corporation Japan;Fighter / 2.5D;;;;;0;;;;;
arabianmj;Arabian Magic (Ver 1.0J 1992/07/06);Arcade;arabianm;1992;Taito Corporation;Fighter / 2.5D;;;;;0;;;;;
arabianmj;Arabian Magic (Ver 1.0J 1992/07/06);MAME (Advance);arabianm;1992;Taito Corporation;Fighter / 2.5D;;;;;0;;;;;
arabianmj;Arabian Magic (Ver 1.0J 1992/07/06);MAME (Libretro);arabianm;1992;Taito Corporation;Fighter / 2.5D;;;;;0;;;;;
arabianmj;Arabian Magic (Ver 1.0J 1992/07/06);MAME (Mame4all);arabianm;1992;Taito Corporation;Fighter / 2.5D;;;;;0;;;;;
arabianmu;Arabian Magic (Ver 1.0A 1992/07/06);Arcade;arabianm;1992;Taito America Corporation;Fighter / 2.5D;;;;;0;;;;;
arabianmu;Arabian Magic (Ver 1.0A 1992/07/06);MAME (Advance);arabianm;1992;Taito America Corporation;Fighter / 2.5D;;;;;0;;;;;
arabianmu;Arabian Magic (Ver 1.0A 1992/07/06);MAME (Libretro);arabianm;1992;Taito America Corporation;Fighter / 2.5D;;;;;0;;;;;
arabianmu;Arabian Magic (Ver 1.0A 1992/07/06);MAME (Mame4all);arabianm;1992;Taito America Corporation;Fighter / 2.5D;;;;;0;;;;;
arcadecl;Arcade Classics (Euro, USA);Final Burn Alpha;;1996;Sega;;;;;;0;;;;;
arcadecl;Arcade Classics (prototype);Arcade;;1992;Atari Games;Multiplay / Compilation;;;;;0;;;;;
arcadecl;Arcade Classics (prototype);MAME (Advance);;1992;Atari Games;Multiplay / Compilation;;;;;0;;;;;
arcadecl;Arcade Classics (prototype);MAME (Libretro);;1992;Atari Games;Multiplay / Compilation;;;;;0;;;;;
arcadecl;Arcade Classics (prototype);MAME (Mame4all);;1992;Atari Games;Multiplay / Compilation;;;;;0;;;;;
arcadegh;Arcade's Greatest Hits (Euro);Final Burn Alpha;;1996;Midway;;;;;;0;;;;;
arcadeghu;Williams Arcade's Greatest Hits (USA);Final Burn Alpha;arcadegh;1996;Williams;;;;;;0;;;;;
arcadian;Arcadia (NMK) [Incomplete sound];Final Burn Alpha;;1994;NMK;;;;;;0;;;;;
arcadian;Arcadia (NMK);Arcade;;1994;NMK;Shooter / Flying Vertical;;;;;0;;;;;
arcadian;Arcadia (NMK);MAME (Advance);;1994;NMK;Shooter / Flying Vertical;;;;;0;;;;;
arcadian;Arcadia (NMK);MAME (Libretro);;1994;NMK;Shooter / Flying Vertical;;;;;0;;;;;
arcadian;Arcadia (NMK);MAME (Mame4all);;1994;NMK;Shooter / Flying Vertical;;;;;0;;;;;
archrivl;Arch Rivals (Euro, USA);Final Burn Alpha;;1992;Flying Edge;;;;;;0;;;;;
arcus;Arcus Odyssey (USA);Final Burn Alpha;;1991;Renovation;;;;;;0;;;;;
arcusj;Arcus Odyssey (Jpn);Final Burn Alpha;arcus;1991;Wolf Team;;;;;;0;;;;;
arcwins;Arctic Wins (4XF5227H03, USA);Arcade;;1996;Aristocrat;Casino / Reels;;;;;0;;;;;
arcwins;Arctic Wins (4XF5227H03, USA);MAME (Advance);;1996;Aristocrat;Casino / Reels;;;;;0;;;;;
arcwins;Arctic Wins (4XF5227H03, USA);MAME (Libretro);;1996;Aristocrat;Casino / Reels;;;;;0;;;;;
arcwins;Arctic Wins (4XF5227H03, USA);MAME (Mame4all);;1996;Aristocrat;Casino / Reels;;;;;0;;;;;
area51;Area 51 (R3000);Arcade;;1996;Atari Games;Shooter / Gun;;;;;0;;;;;
area51;Area 51 (R3000);MAME (Advance);;1996;Atari Games;Shooter / Gun;;;;;0;;;;;
area51;Area 51 (R3000);MAME (Libretro);;1996;Atari Games;Shooter / Gun;;;;;0;;;;;
area51;Area 51 (R3000);MAME (Mame4all);;1996;Atari Games;Shooter / Gun;;;;;0;;;;;
area51a;Area 51 (Atari Games license);Arcade;area51;1995;Atari Games;Shooter / Gun;;;;;0;;;;;
area51a;Area 51 (Atari Games license);MAME (Advance);area51;1995;Atari Games;Shooter / Gun;;;;;0;;;;;
area51a;Area 51 (Atari Games license);MAME (Libretro);area51;1995;Atari Games;Shooter / Gun;;;;;0;;;;;
area51a;Area 51 (Atari Games license);MAME (Mame4all);area51;1995;Atari Games;Shooter / Gun;;;;;0;;;;;
area51mx;Area 51 / Maximum Force Duo v2.0;Arcade;;1998;Atari Games;Shooter / Gun;;;;;0;;;;;
area51mx;Area 51 / Maximum Force Duo v2.0;MAME (Advance);;1998;Atari Games;Shooter / Gun;;;;;0;;;;;
area51mx;Area 51 / Maximum Force Duo v2.0;MAME (Libretro);;1998;Atari Games;Shooter / Gun;;;;;0;;;;;
area51mx;Area 51 / Maximum Force Duo v2.0;MAME (Mame4all);;1998;Atari Games;Shooter / Gun;;;;;0;;;;;
area51t;Area 51 (Time Warner license);Arcade;area51;1995;Atari Games (Time Warner license);Shooter / Gun;;;;;0;;;;;
area51t;Area 51 (Time Warner license);MAME (Advance);area51;1995;Atari Games (Time Warner license);Shooter / Gun;;;;;0;;;;;
area51t;Area 51 (Time Warner license);MAME (Libretro);area51;1995;Atari Games (Time Warner license);Shooter / Gun;;;;;0;;;;;
area51t;Area 51 (Time Warner license);MAME (Mame4all);area51;1995;Atari Games (Time Warner license);Shooter / Gun;;;;;0;;;;;
arescue;Air Rescue (US);Arcade;;1992;Sega;Shooter / Flying 1st Person;;;;;0;;;;;
arescue;Air Rescue (US);MAME (Advance);;1992;Sega;Shooter / Flying 1st Person;;;;;0;;;;;
arescue;Air Rescue (US);MAME (Libretro);;1992;Sega;Shooter / Flying 1st Person;;;;;0;;;;;
arescue;Air Rescue (US);MAME (Mame4all);;1992;Sega;Shooter / Flying 1st Person;;;;;0;;;;;
arescuej;Air Rescue (Japan);Arcade;arescue;1992;Sega;Shooter / Flying 1st Person;;;;;0;;;;;
arescuej;Air Rescue (Japan);MAME (Advance);arescue;1992;Sega;Shooter / Flying 1st Person;;;;;0;;;;;
arescuej;Air Rescue (Japan);MAME (Libretro);arescue;1992;Sega;Shooter / Flying 1st Person;;;;;0;;;;;
arescuej;Air Rescue (Japan);MAME (Mame4all);arescue;1992;Sega;Shooter / Flying 1st Person;;;;;0;;;;;
aresshmd;A Ressha de Ikou MD - Take the 'A' Train (Jpn);Final Burn Alpha;;1992;Sega;;;;;;0;;;;;
ariel;Disney's Ariel the Little Mermaid (Euro, USA);Final Burn Alpha;;1992;Sega;;;;;;0;;;;;
arkretrn;Arkanoid Returns (Ver 2.02O 1997/02/10);Arcade;;1997;Taito Corporation;Ball & Paddle / Breakout;;;;;0;;;;;
arkretrn;Arkanoid Returns (Ver 2.02O 1997/02/10);MAME (Advance);;1997;Taito Corporation;Ball & Paddle / Breakout;;;;;0;;;;;
arkretrn;Arkanoid Returns (Ver 2.02O 1997/02/10);MAME (Libretro);;1997;Taito Corporation;Ball & Paddle / Breakout;;;;;0;;;;;
arkretrn;Arkanoid Returns (Ver 2.02O 1997/02/10);MAME (Mame4all);;1997;Taito Corporation;Ball & Paddle / Breakout;;;;;0;;;;;
arkretrnj;Arkanoid Returns (Ver 2.02J 1997/02/10);Arcade;arkretrn;1997;Taito Corporation;Ball & Paddle / Breakout;;;;;0;;;;;
arkretrnj;Arkanoid Returns (Ver 2.02J 1997/02/10);MAME (Advance);arkretrn;1997;Taito Corporation;Ball & Paddle / Breakout;;;;;0;;;;;
arkretrnj;Arkanoid Returns (Ver 2.02J 1997/02/10);MAME (Libretro);arkretrn;1997;Taito Corporation;Ball & Paddle / Breakout;;;;;0;;;;;
arkretrnj;Arkanoid Returns (Ver 2.02J 1997/02/10);MAME (Mame4all);arkretrn;1997;Taito Corporation;Ball & Paddle / Breakout;;;;;0;;;;;
arkretrnu;Arkanoid Returns (Ver 2.02A 1997/02/10);Arcade;arkretrn;1997;Taito Corporation;Ball & Paddle / Breakout;;;;;0;;;;;
arkretrnu;Arkanoid Returns (Ver 2.02A 1997/02/10);MAME (Advance);arkretrn;1997;Taito Corporation;Ball & Paddle / Breakout;;;;;0;;;;;
arkretrnu;Arkanoid Returns (Ver 2.02A 1997/02/10);MAME (Libretro);arkretrn;1997;Taito Corporation;Ball & Paddle / Breakout;;;;;0;;;;;
arkretrnu;Arkanoid Returns (Ver 2.02A 1997/02/10);MAME (Mame4all);arkretrn;1997;Taito Corporation;Ball & Paddle / Breakout;;;;;0;;;;;
arlingtn;Arlington Horse Racing (v1.21-D);Arcade;;1991;Strata/Incredible Technologies;Sports / Horse Racing;;;;;0;;;;;
arlingtn;Arlington Horse Racing (v1.21-D);MAME (Advance);;1991;Strata/Incredible Technologies;Sports / Horse Racing;;;;;0;;;;;
arlingtn;Arlington Horse Racing (v1.21-D);MAME (Libretro);;1991;Strata/Incredible Technologies;Sports / Horse Racing;;;;;0;;;;;
arlingtn;Arlington Horse Racing (v1.21-D);MAME (Mame4all);;1991;Strata/Incredible Technologies;Sports / Horse Racing;;;;;0;;;;;
armchmp2;Arm Champs II v2.6;Arcade;;1992;Jaleco;Sports / Armwrestling;;;;;0;;;;;
armchmp2;Arm Champs II v2.6;MAME (Advance);;1992;Jaleco;Sports / Armwrestling;;;;;0;;;;;
armchmp2;Arm Champs II v2.6;MAME (Libretro);;1992;Jaleco;Sports / Armwrestling;;;;;0;;;;;
armchmp2;Arm Champs II v2.6;MAME (Mame4all);;1992;Jaleco;Sports / Armwrestling;;;;;0;;;;;
armchmp2o;Arm Champs II v1.7;Arcade;armchmp2;1992;Jaleco;Sports / Armwrestling;;;;;0;;;;;
armchmp2o;Arm Champs II v1.7;MAME (Advance);armchmp2;1992;Jaleco;Sports / Armwrestling;;;;;0;;;;;
armchmp2o;Arm Champs II v1.7;MAME (Libretro);armchmp2;1992;Jaleco;Sports / Armwrestling;;;;;0;;;;;
armchmp2o;Arm Champs II v1.7;MAME (Mame4all);armchmp2;1992;Jaleco;Sports / Armwrestling;;;;;0;;;;;
armwar1d;Armored Warriors (941011 Europe Phoenix Edition) [Bootleg];Final Burn Alpha;armwar;1994;bootleg;;;;;;0;;;;;
armwar1d;Armored Warriors (Euro 941011 Phoenix Edition) (bootleg);Arcade;armwar;1994;bootleg;Platform / Fighter Scrolling;;;;;0;;;;;
armwar1d;Armored Warriors (Euro 941011 Phoenix Edition) (bootleg);MAME (Advance);armwar;1994;bootleg;Platform / Fighter Scrolling;;;;;0;;;;;
armwar1d;Armored Warriors (Euro 941011 Phoenix Edition) (bootleg);MAME (Libretro);armwar;1994;bootleg;Platform / Fighter Scrolling;;;;;0;;;;;
armwar1d;Armored Warriors (Euro 941011 Phoenix Edition) (bootleg);MAME (Mame4all);armwar;1994;bootleg;Platform / Fighter Scrolling;;;;;0;;;;;
armwar;Armored Warriors (941024 Europe);Final Burn Alpha;;1994;Capcom;;;;;;0;;;;;
armwar;Armored Warriors (Euro 941024);Arcade;;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwar;Armored Warriors (Euro 941024);MAME (Advance);;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwar;Armored Warriors (Euro 941024);MAME (Libretro);;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwar;Armored Warriors (Euro 941024);MAME (Mame4all);;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwara;Armored Warriors (941024 Asia);Final Burn Alpha;armwar;1994;Capcom;;;;;;0;;;;;
armwara;Armored Warriors (Asia 941024);Arcade;armwar;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwara;Armored Warriors (Asia 941024);MAME (Advance);armwar;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwara;Armored Warriors (Asia 941024);MAME (Libretro);armwar;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwara;Armored Warriors (Asia 941024);MAME (Mame4all);armwar;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwarar1;Armored Warriors (940920 Asia);Final Burn Alpha;armwar;1994;Capcom;;;;;;0;;;;;
armwarar1;Armored Warriors (Asia 940920);Arcade;armwar;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwarar1;Armored Warriors (Asia 940920);MAME (Advance);armwar;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwarar1;Armored Warriors (Asia 940920);MAME (Libretro);armwar;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwarar1;Armored Warriors (Asia 940920);MAME (Mame4all);armwar;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwarr1;Armored Warriors (941011 Europe);Final Burn Alpha;armwar;1994;Capcom;;;;;;0;;;;;
armwarr1;Armored Warriors (Euro 941011);Arcade;armwar;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwarr1;Armored Warriors (Euro 941011);MAME (Advance);armwar;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwarr1;Armored Warriors (Euro 941011);MAME (Libretro);armwar;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwarr1;Armored Warriors (Euro 941011);MAME (Mame4all);armwar;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwaru1;Armored Warriors (940920 USA);Final Burn Alpha;armwar;1994;Capcom;;;;;;0;;;;;
armwaru1;Armored Warriors (USA 940920);Arcade;armwar;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwaru1;Armored Warriors (USA 940920);MAME (Advance);armwar;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwaru1;Armored Warriors (USA 940920);MAME (Libretro);armwar;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwaru1;Armored Warriors (USA 940920);MAME (Mame4all);armwar;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwaru;Armored Warriors (941024 USA);Final Burn Alpha;armwar;1994;Capcom;;;;;;0;;;;;
armwaru;Armored Warriors (USA 941024);Arcade;armwar;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwaru;Armored Warriors (USA 941024);MAME (Advance);armwar;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwaru;Armored Warriors (USA 941024);MAME (Libretro);armwar;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
armwaru;Armored Warriors (USA 941024);MAME (Mame4all);armwar;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
arrow1;Arrow Flash (World, Alt);Final Burn Alpha;arrow;1990;Sega;;;;;;0;;;;;
arrow;Arrow Flash (World);Final Burn Alpha;;1990;Sega;;;;;;0;;;;;
artalive;Art Alive (World);Final Burn Alpha;;1991;Sega;;;;;;0;;;;;
arttool;Art Tool;Final Burn Alpha;;199?;unknown;;;;;;0;;;;;
ashnojoe;Ashita no Joe (Japan) [Incomplete sound];Final Burn Alpha;scessjoe;1990;Taito Corporation / Wave;;;;;;0;;;;;
ashnojoe;Ashita no Joe (Japan);Arcade;scessjoe;1990;Taito Corporation / Wave;Sports / Boxing;;;;;0;;;;;
ashnojoe;Ashita no Joe (Japan);MAME (Advance);scessjoe;1990;Taito Corporation / Wave;Sports / Boxing;;;;;0;;;;;
ashnojoe;Ashita no Joe (Japan);MAME (Libretro);scessjoe;1990;Taito Corporation / Wave;Sports / Boxing;;;;;0;;;;;
ashnojoe;Ashita no Joe (Japan);MAME (Mame4all);scessjoe;1990;Taito Corporation / Wave;Sports / Boxing;;;;;0;;;;;
ashura;Ashura Blaster (World);Arcade;;1990;Taito Corporation Japan;Shooter / Flying Vertical;;;;;0;;;;;
ashura;Ashura Blaster (World);Final Burn Alpha;;1990;Taito Corporation Japan;;;;;;0;;;;;
ashura;Ashura Blaster (World);MAME (Advance);;1990;Taito Corporation Japan;Shooter / Flying Vertical;;;;;0;;;;;
ashura;Ashura Blaster (World);MAME (Libretro);;1990;Taito Corporation Japan;Shooter / Flying Vertical;;;;;0;;;;;
ashura;Ashura Blaster (World);MAME (Mame4all);;1990;Taito Corporation Japan;Shooter / Flying Vertical;;;;;0;;;;;
ashuraj;Ashura Blaster (Japan);Arcade;ashura;1990;Taito Corporation;Shooter / Flying Vertical;;;;;0;;;;;
ashuraj;Ashura Blaster (Japan);Final Burn Alpha;ashura;1990;Taito Corporation;;;;;;0;;;;;
ashuraj;Ashura Blaster (Japan);MAME (Advance);ashura;1990;Taito Corporation;Shooter / Flying Vertical;;;;;0;;;;;
ashuraj;Ashura Blaster (Japan);MAME (Libretro);ashura;1990;Taito Corporation;Shooter / Flying Vertical;;;;;0;;;;;
ashuraj;Ashura Blaster (Japan);MAME (Mame4all);ashura;1990;Taito Corporation;Shooter / Flying Vertical;;;;;0;;;;;
ashurau;Ashura Blaster (US);Arcade;ashura;1990;Taito America Corporation;Shooter / Flying Vertical;;;;;0;;;;;
ashurau;Ashura Blaster (US);Final Burn Alpha;ashura;1990;Taito America Corporation;;;;;;0;;;;;
ashurau;Ashura Blaster (US);MAME (Advance);ashura;1990;Taito America Corporation;Shooter / Flying Vertical;;;;;0;;;;;
ashurau;Ashura Blaster (US);MAME (Libretro);ashura;1990;Taito America Corporation;Shooter / Flying Vertical;;;;;0;;;;;
ashurau;Ashura Blaster (US);MAME (Mame4all);ashura;1990;Taito America Corporation;Shooter / Flying Vertical;;;;;0;;;;;
asscreed;Assassins Creed (Rus);Final Burn Alpha;dlair;199?;unlicensed;;;;;;0;;;;;
astergre;Asterix and the Great Rescue (Euro);Final Burn Alpha;;1993;Sega;;;;;;0;;;;;
astergreu;Asterix and the Great Rescue (USA);Final Burn Alpha;astergre;1994;Sega;;;;;;0;;;;;
asterix;Asterix (ver EAD);Arcade;;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
asterix;Asterix (ver EAD);MAME (Advance);;1992;Konami;Fighter / 2.5D;;;;;0;;;;;
