#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
puzzloopa;Puzz Loop (Asia);Final Burn Alpha;puzzloop;1998;Mitchell;Puzzle / Toss;;;;;0;;;;;
puzzloopa;Puzz Loop (Asia);MAME (Advance);puzzloop;1998;Mitchell;Puzzle / Toss;;;;;0;;;;;
puzzloopa;Puzz Loop (Asia);MAME (Libretro);puzzloop;1998;Mitchell;Puzzle / Toss;;;;;0;;;;;
puzzloopa;Puzz Loop (Asia);MAME (Mame4all);puzzloop;1998;Mitchell;Puzzle / Toss;;;;;0;;;;;
puzzloope;Puzz Loop (Europe, v0.93);Arcade;puzzloop;1998;Mitchell;Puzzle / Toss;;;;;0;;;;;
puzzloope;Puzz Loop (Europe, v0.93);Final Burn Alpha;puzzloop;1998;Mitchell;Puzzle / Toss;;;;;0;;;;;
puzzloope;Puzz Loop (Europe, v0.93);MAME (Advance);puzzloop;1998;Mitchell;Puzzle / Toss;;;;;0;;;;;
puzzloope;Puzz Loop (Europe, v0.93);MAME (Libretro);puzzloop;1998;Mitchell;Puzzle / Toss;;;;;0;;;;;
puzzloope;Puzz Loop (Europe, v0.93);MAME (Mame4all);puzzloop;1998;Mitchell;Puzzle / Toss;;;;;0;;;;;
puzzloopj;Puzz Loop (Japan);Arcade;puzzloop;1998;Mitchell;Puzzle / Toss;;;;;0;;;;;
puzzloopj;Puzz Loop (Japan);Final Burn Alpha;puzzloop;1998;Mitchell;Puzzle / Toss;;;;;0;;;;;
puzzloopj;Puzz Loop (Japan);MAME (Advance);puzzloop;1998;Mitchell;Puzzle / Toss;;;;;0;;;;;
puzzloopj;Puzz Loop (Japan);MAME (Libretro);puzzloop;1998;Mitchell;Puzzle / Toss;;;;;0;;;;;
puzzloopj;Puzz Loop (Japan);MAME (Mame4all);puzzloop;1998;Mitchell;Puzzle / Toss;;;;;0;;;;;
puzzloopk;Puzz Loop (Korea);Arcade;puzzloop;1998;Mitchell;Puzzle / Toss;;;;;0;;;;;
